Month,Alabama_Cumulative,Alaska_Cumulative,Arizona_Cumulative,Arkansas_Cumulative,California_Cumulative,Colorado_Cumulative,Connecticut_Cumulative,District of Columbia_Cumulative,Delaware_Cumulative,Florida_Cumulative,Georgia_Cumulative,Hawaii_Cumulative,Idaho_Cumulative,Illinois_Cumulative,Indiana_Cumulative,Iowa_Cumulative,Kansas_Cumulative,Kentucky_Cumulative,Louisiana_Cumulative,Maine_Cumulative,Maryland_Cumulative,Massachusetts_Cumulative,Michigan_Cumulative,Minnesota_Cumulative,Mississippi_Cumulative,Missouri_Cumulative,Montana_Cumulative,Nebraska_Cumulative,Nevada_Cumulative,New Hampshire_Cumulative,New Jersey_Cumulative,New Mexico_Cumulative,New York_Cumulative,North Carolina_Cumulative,North Dakota_Cumulative,Ohio_Cumulative,Oklahoma_Cumulative,Oregon_Cumulative,Pennsylvania_Cumulative,Rhode Island_Cumulative,South Carolina_Cumulative,South Dakota_Cumulative,Tennessee_Cumulative,Texas_Cumulative,Utah_Cumulative,Vermont_Cumulative,Virginia_Cumulative,Washington_Cumulative,West Virginia_Cumulative,Wisconsin_Cumulative,Wyoming_Cumulative
2021-01,21.53190809190809,0,8.55321019652982,6.451612903225806,90.59489776312536,16.937951400353054,3.808768768768769,2.237762237762238,0,34.18500710848769,9.908508557534008,21.05263157894737,0,39.91881282795344,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,16.113564360141538,21.89721814169525,24.374876327022573,8.663882679019897,0,18.482093492989286,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,68.40376246991588,28.644925599249333,0,48.23868348608477,4.4727084995541375,12.846191439199552,24.481068992369913,0,0.9009009009009008,0,12.23944295297596,41.082526940120786,1.1411411411411412,0,30.562573167414254,19.16529188518266,0,35.097126977723995,0.0
2021-02,21.53190809190809,0,8.55321019652982,6.451612903225806,92.42823109645869,16.937951400353054,3.808768768768769,2.237762237762238,0,35.268340441821024,9.908508557534008,21.05263157894737,0,39.91881282795344,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,23.529411764705884,16.113564360141538,21.89721814169525,24.374876327022573,8.663882679019897,0,18.482093492989286,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,69.82042913658255,28.644925599249333,0,48.23868348608477,4.4727084995541375,12.846191439199552,24.481068992369913,0,0.9009009009009008,0,12.23944295297596,41.832526940120786,1.1411411411411412,0,32.645906500747586,19.16529188518266,0,35.097126977723995,0.0
2021-03,21.53190809190809,0,8.55321019652982,6.451612903225806,93.69138899119552,16.937951400353054,3.808768768768769,2.237762237762238,0,36.163077283926285,9.908508557534008,21.05263157894737,0,40.97144440690081,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,21.89721814169525,24.374876327022573,8.663882679019897,0,18.482093492989286,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,70.50463966289834,29.911592265916,0,49.23868348608477,4.4727084995541375,12.846191439199552,24.481068992369913,0,0.9009009009009008,0,12.23944295297596,42.832526940120786,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-04,21.53190809190809,0,8.55321019652982,6.451612903225806,94.88057818038472,16.937951400353054,3.808768768768769,2.237762237762238,0,36.865779986628986,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,24.374876327022573,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,71.15328831154699,29.911592265916,0,49.23868348608477,4.4727084995541375,12.846191439199552,24.481068992369913,0,0.9009009009009008,0,12.23944295297596,43.85955396714781,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-05,21.53190809190809,0,8.55321019652982,6.451612903225806,97.31536078908037,16.937951400353054,3.808768768768769,2.237762237762238,0,38.778823464889854,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,71.15328831154699,33.68937004369378,0,53.06477044260651,4.4727084995541375,12.846191439199552,27.404145915446836,0,0.9009009009009008,0,12.23944295297596,45.42477135845216,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-06,21.53190809190809,0,8.55321019652982,6.451612903225806,99.79155126527085,16.937951400353054,3.808768768768769,2.237762237762238,0,38.778823464889854,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,71.15328831154699,33.68937004369378,0,53.06477044260651,4.4727084995541375,12.846191439199552,35.80414591544684,0,0.9009009009009008,0,12.23944295297596,46.94858088226169,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-07,21.53190809190809,0,8.55321019652982,6.451612903225806,103.79155126527085,16.937951400353054,3.808768768768769,2.237762237762238,0,38.778823464889854,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,71.15328831154699,33.68937004369378,0,53.06477044260651,4.4727084995541375,12.846191439199552,35.80414591544684,0,0.9009009009009008,0,12.23944295297596,46.94858088226169,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-08,21.53190809190809,0,8.55321019652982,6.451612903225806,105.8968144231656,16.937951400353054,3.808768768768769,2.237762237762238,0,38.778823464889854,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,73.04802515365225,33.68937004369378,0,53.06477044260651,4.4727084995541375,12.846191439199552,35.80414591544684,0,0.9009009009009008,0,12.23944295297596,46.94858088226169,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-09,21.53190809190809,0,8.55321019652982,6.451612903225806,107.33271185906302,16.937951400353054,3.808768768768769,2.237762237762238,0,39.907028593094985,12.967332086945772,21.05263157894737,0,42.106579542035945,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,74.17623028185737,33.68937004369378,0,53.06477044260651,4.4727084995541375,12.846191439199552,35.80414591544684,0,0.9009009009009008,0,16.136878850411858,48.384478318159125,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
2021-10,21.53190809190809,0,8.55321019652982,6.451612903225806,108.36719461768371,16.937951400353054,3.808768768768769,2.237762237762238,0,39.907028593094985,12.967332086945772,21.05263157894737,0,43.55485540410491,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,33.92941176470588,16.113564360141538,23.57289381737093,33.244441544413874,8.663882679019897,0,21.509120520016314,16.666666666666668,33.86486486486486,11.379884882034283,0.0,39.37094813950628,0,74.93485097151255,33.68937004369378,0,54.51304630467548,4.4727084995541375,12.846191439199552,37.327955439256364,0,0.9009009009009008,0,16.136878850411858,49.1430990078143,1.1411411411411412,0,32.645906500747586,20.84950241149845,0,35.097126977723995,0.0
