Month,Alabama_Cumulative,Alaska_Cumulative,Arizona_Cumulative,Arkansas_Cumulative,California_Cumulative,Colorado_Cumulative,Connecticut_Cumulative,District of Columbia_Cumulative,Delaware_Cumulative,Florida_Cumulative,Georgia_Cumulative,Hawaii_Cumulative,Idaho_Cumulative,Illinois_Cumulative,Indiana_Cumulative,Iowa_Cumulative,Kansas_Cumulative,Kentucky_Cumulative,Louisiana_Cumulative,Maine_Cumulative,Maryland_Cumulative,Massachusetts_Cumulative,Michigan_Cumulative,Minnesota_Cumulative,Mississippi_Cumulative,Missouri_Cumulative,Montana_Cumulative,Nebraska_Cumulative,Nevada_Cumulative,New Hampshire_Cumulative,New Jersey_Cumulative,New Mexico_Cumulative,New York_Cumulative,North Carolina_Cumulative,North Dakota_Cumulative,Ohio_Cumulative,Oklahoma_Cumulative,Oregon_Cumulative,Pennsylvania_Cumulative,Rhode Island_Cumulative,South Carolina_Cumulative,South Dakota_Cumulative,Tennessee_Cumulative,Texas_Cumulative,Utah_Cumulative,Vermont_Cumulative,Virginia_Cumulative,Washington_Cumulative,West Virginia_Cumulative,Wisconsin_Cumulative,Wyoming_Cumulative
2016-10,0.9753086419753086,0.0,0.0,0.0,0.876543209876543,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.49382716049382713,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.9135802469135803,0.0,0.8024691358024691,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-11,0.9753086419753086,0.0,0.0,0.0,1.0123456790123453,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.49382716049382713,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.4567901234567901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037035,1.5873015873015872,0.0,0.9135802469135803,0.0,0.8024691358024691,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-12,0.9753086419753086,0.0,0.0,0.0,1.0864197530864192,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.49382716049382713,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.4567901234567901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037035,1.8888888888888888,0.0,0.9135802469135803,0.0,0.8024691358024691,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.6172839506172839,0.0
2017-01,2.0246913580246915,0.0,0.5211267605633803,0.0,1.3827160493827155,0.5569620253164557,0.0,1.950617283950617,0.0,0.40740740740740733,0.4936708860759494,2.962962962962963,0.0,1.1975308641975309,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.4567901234567901,0.4814814814814814,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,0.3580246913580246,0.0,1.148148148148148,2.3492063492063493,0.0,1.2716049382716048,1.0617283950617284,1.5185185185185186,0.589041095890411,0.0,0.0,0.0,0.5185185185185185,0.4444444444444443,0.0,0.0,0.9999999999999999,0.4814814814814814,0.0,0.6172839506172839,0.0
2017-02,2.0246913580246915,0.0,0.5211267605633803,0.0,1.555555555555555,1.3670886075949367,0.0,1.950617283950617,0.0,0.6790123456790123,0.4936708860759494,2.962962962962963,0.0,1.5555555555555554,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.4567901234567901,1.0617283950617282,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,0.3580246913580246,0.0,1.333333333333333,2.3492063492063493,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,0.5185185185185185,0.6172839506172838,0.0,0.0,0.9999999999999999,0.4814814814814814,0.0,0.6172839506172839,0.0
2017-03,2.9753086419753085,0.0,0.5211267605633803,1.492537313432836,1.8765432098765424,1.3670886075949367,0.0,1.950617283950617,0.0,0.8148148148148147,0.4936708860759494,2.962962962962963,0.0,1.839506172839506,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.4567901234567901,1.0617283950617282,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,0.6543209876543209,0.0,1.5061728395061724,2.634920634920635,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,0.5185185185185185,0.765432098765432,0.0,0.0,0.9999999999999999,0.8518518518518516,0.0,0.6172839506172839,0.0
2017-04,2.9753086419753085,0.0,0.5211267605633803,1.492537313432836,2.086419753086419,1.3670886075949367,0.0,1.950617283950617,0.0,1.0246913580246912,0.4936708860759494,2.962962962962963,0.0,2.074074074074074,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.7160493827160495,0.4567901234567901,1.3950617283950615,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,0.6543209876543209,0.0,1.8024691358024687,2.634920634920635,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,0.5185185185185185,0.9506172839506171,0.0,0.0,0.9999999999999999,0.8518518518518516,0.0,0.6172839506172839,0.0
2017-05,2.9753086419753085,0.0,0.5211267605633803,1.492537313432836,2.308641975308641,1.3670886075949367,0.0,1.950617283950617,0.0,1.4074074074074072,0.4936708860759494,2.962962962962963,0.0,2.3209876543209873,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.7160493827160495,0.8271604938271604,1.3950617283950615,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,0.6543209876543209,0.0,1.9999999999999996,2.634920634920635,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,1.1111111111111112,1.0740740740740737,0.0,0.0,0.9999999999999999,0.8518518518518516,0.0,0.6172839506172839,0.0
2017-06,2.9753086419753085,0.0,0.5211267605633803,1.492537313432836,2.4938271604938262,1.3670886075949367,0.0,1.950617283950617,0.0,1.839506172839506,0.4936708860759494,2.962962962962963,0.0,2.3209876543209873,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.7160493827160495,0.8271604938271604,1.3950617283950615,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,1.0493827160493825,0.0,2.2345679012345676,2.634920634920635,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,1.1111111111111112,1.0740740740740737,0.0,0.0,0.9999999999999999,0.8518518518518516,0.0,0.6172839506172839,0.0
2017-07,2.9753086419753085,0.0,0.5211267605633803,1.492537313432836,2.580246913580246,1.3670886075949367,0.0,1.950617283950617,0.0,2.0493827160493825,0.4936708860759494,2.962962962962963,0.0,2.3209876543209873,1.740740740740741,0.0,0.0,0.0,0.0,0.0,1.7160493827160495,0.8271604938271604,1.3950617283950615,0.0,0.0,0.654320987654321,0.0,0.0,0.0,0.0,1.0493827160493825,0.0,2.3827160493827155,2.634920634920635,0.0,1.7777777777777777,1.0617283950617284,1.5185185185185186,0.9178082191780822,0.0,0.0,0.0,1.1111111111111112,1.0740740740740737,0.0,0.0,0.9999999999999999,0.8518518518518516,0.0,0.6172839506172839,0.0
