B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,GEO_ID,NAME,state,year
624977,307973,15391,16449,17800,11376,10848,5426,5569,12681,18658,18035,17074,17672,19930,22383,23844,9566,13424,8240,10721,14106,8228,5924,4628,317004,14285,16075,16150,10820,10178,5216,5016,12002,17823,18298,18188,17616,20166,23822,25428,10368,13850,8110,12301,14778,10214,7240,9060,0400000US50,Vermont,50,2018
3045350,1532768,129503,133298,133551,75775,45260,22094,26760,81064,117104,111862,112895,96042,81757,75563,73856,28600,39689,23124,29952,37894,25777,16723,14625,1512582,123362,128131,123860,71569,44672,22595,26643,75148,112311,108535,108431,93095,79317,75897,75493,29752,41597,24589,32648,42337,30080,22096,20424,0400000US49,Utah,49,2018
8413774,4138574,262126,262476,268863,160621,117869,62634,61179,179327,299119,292064,275908,268434,277972,288812,275455,103456,138449,85367,114500,141649,93247,59520,49527,4275200,247829,256800,253960,154752,114625,58370,56928,165063,290642,288636,281439,270497,286761,303545,292016,113703,153198,95987,129726,165511,118607,82787,93818,0400000US51,Virginia,51,2018
7294336,3645665,232133,236092,228937,138580,89674,50995,49221,153213,285382,273997,253272,231804,236156,237502,240142,91135,128404,79013,101916,129502,79848,52733,46014,3648671,220875,226486,218358,131414,84684,45955,45545,140231,265299,261517,246460,224820,231612,238984,247031,97320,137607,82458,114092,143506,95236,66736,82445,0400000US53,Washington,53,2018
1829054,904196,51075,52365,54629,33334,23822,12696,13304,34599,56442,53366,54838,57543,59124,61837,64397,26362,38742,23682,34347,39409,28334,16488,13461,924858,48216,49735,52415,31604,21573,12830,11802,32971,54446,51994,53372,57009,58670,63121,67839,27711,40552,25817,35548,43909,33205,23833,26686,0400000US54,West Virginia,54,2018
5778394,2872376,172146,182519,190095,114824,79564,41934,42312,120433,185965,186545,182487,168620,183678,204999,210262,79682,108551,67157,85515,102331,71432,48926,42399,2906018,163774,175234,180396,109955,76762,40119,40702,116736,175496,181898,175676,167561,182165,206834,214517,79666,111592,67740,88529,116096,85194,65760,83616,0400000US55,Wisconsin,55,2018
581836,296979,19089,19686,20678,11611,7800,4670,4556,12232,20758,21153,19808,17379,17028,18198,19988,8934,11691,6608,9438,10491,6789,4762,3632,284857,18181,19994,18262,10218,7105,4445,3244,10774,19145,19333,18164,16180,15764,17967,20535,8138,11351,6458,8705,11176,8106,5630,5982,0400000US56,Wyoming,56,2018
3386941,1612865,80711,94778,106025,69871,47774,26341,26038,69305,110292,95444,98687,102939,103233,105233,101240,41237,54988,35622,53901,72699,53446,35262,27799,1774076,76927,91178,101679,66776,45986,26232,25043,67879,112589,103727,110871,112160,114923,122305,116448,46793,70666,41697,64608,91073,68708,48052,47756,0400000US72,Puerto Rico,72,2018
4864680,2355799,149151,154426,158729,98202,65598,36376,35261,97598,162663,148737,144144,147214,150559,160452,160682,60037,85569,51870,70217,91817,61026,38279,27192,2508881,142974,147748,153364,94199,65915,35484,34087,95610,165559,155701,153698,154326,159748,170310,173329,68825,94573,60161,80851,108141,80154,57880,56244,0400000US01,Alabama,01,2018
738516,385579,27605,26511,26200,15376,9785,6014,6587,20020,32871,29750,26104,22094,23403,25326,25948,9884,13164,7903,9285,10386,5747,3282,2334,352937,26635,26117,23521,14173,8117,4456,4790,14882,28979,26919,23444,21037,21471,23144,24956,9574,11231,6552,9155,10085,5694,4092,3913,0400000US02,Alaska,02,2018
