GEO_ID,NAME,state,year,variable,value,label,concept
0400000US45,South Carolina,45,2019,B01001_001E,5020806,Estimate!!Total:,Sex by Age
0400000US46,South Dakota,46,2019,B01001_001E,870638,Estimate!!Total:,Sex by Age
0400000US47,Tennessee,47,2019,B01001_001E,6709356,Estimate!!Total:,Sex by Age
0400000US48,Texas,48,2019,B01001_001E,28260856,Estimate!!Total:,Sex by Age
0400000US50,Vermont,50,2019,B01001_001E,624313,Estimate!!Total:,Sex by Age
0400000US49,Utah,49,2019,B01001_001E,3096848,Estimate!!Total:,Sex by Age
0400000US51,Virginia,51,2019,B01001_001E,8454463,Estimate!!Total:,Sex by Age
0400000US53,Washington,53,2019,B01001_001E,7404107,Estimate!!Total:,Sex by Age
0400000US54,West Virginia,54,2019,B01001_001E,1817305,Estimate!!Total:,Sex by Age
0400000US55,Wisconsin,55,2019,B01001_001E,5790716,Estimate!!Total:,Sex by Age
0400000US56,Wyoming,56,2019,B01001_001E,581024,Estimate!!Total:,Sex by Age
0400000US72,Puerto Rico,72,2019,B01001_001E,3318447,Estimate!!Total:,Sex by Age
0400000US42,Pennsylvania,42,2020,B01001_001E,12794885,Estimate!!Total:,Sex by Age
0400000US06,California,06,2020,B01001_001E,39346023,Estimate!!Total:,Sex by Age
0400000US54,West Virginia,54,2020,B01001_001E,1807426,Estimate!!Total:,Sex by Age
0400000US49,Utah,49,2020,B01001_001E,3151239,Estimate!!Total:,Sex by Age
0400000US36,New York,36,2020,B01001_001E,19514849,Estimate!!Total:,Sex by Age
0400000US11,District of Columbia,11,2020,B01001_001E,701974,Estimate!!Total:,Sex by Age
0400000US02,Alaska,02,2020,B01001_001E,736990,Estimate!!Total:,Sex by Age
0400000US12,Florida,12,2020,B01001_001E,21216924,Estimate!!Total:,Sex by Age
0400000US45,South Carolina,45,2020,B01001_001E,5091517,Estimate!!Total:,Sex by Age
0400000US38,North Dakota,38,2020,B01001_001E,760394,Estimate!!Total:,Sex by Age
0400000US23,Maine,23,2020,B01001_001E,1340825,Estimate!!Total:,Sex by Age
0400000US13,Georgia,13,2020,B01001_001E,10516579,Estimate!!Total:,Sex by Age
0400000US01,Alabama,01,2020,B01001_001E,4893186,Estimate!!Total:,Sex by Age
0400000US33,New Hampshire,33,2020,B01001_001E,1355244,Estimate!!Total:,Sex by Age
0400000US41,Oregon,41,2020,B01001_001E,4176346,Estimate!!Total:,Sex by Age
0400000US56,Wyoming,56,2020,B01001_001E,581348,Estimate!!Total:,Sex by Age
0400000US04,Arizona,04,2020,B01001_001E,7174064,Estimate!!Total:,Sex by Age
0400000US22,Louisiana,22,2020,B01001_001E,4664616,Estimate!!Total:,Sex by Age
0400000US18,Indiana,18,2020,B01001_001E,6696893,Estimate!!Total:,Sex by Age
0400000US16,Idaho,16,2020,B01001_001E,1754367,Estimate!!Total:,Sex by Age
0400000US09,Connecticut,09,2020,B01001_001E,3570549,Estimate!!Total:,Sex by Age
0400000US15,Hawaii,15,2020,B01001_001E,1420074,Estimate!!Total:,Sex by Age
0400000US17,Illinois,17,2020,B01001_001E,12716164,Estimate!!Total:,Sex by Age
0400000US25,Massachusetts,25,2020,B01001_001E,6873003,Estimate!!Total:,Sex by Age
0400000US48,Texas,48,2020,B01001_001E,28635442,Estimate!!Total:,Sex by Age
0400000US30,Montana,30,2020,B01001_001E,1061705,Estimate!!Total:,Sex by Age
0400000US31,Nebraska,31,2020,B01001_001E,1923826,Estimate!!Total:,Sex by Age
0400000US39,Ohio,39,2020,B01001_001E,11675275,Estimate!!Total:,Sex by Age
0400000US08,Colorado,08,2020,B01001_001E,5684926,Estimate!!Total:,Sex by Age
0400000US34,New Jersey,34,2020,B01001_001E,8885418,Estimate!!Total:,Sex by Age
0400000US24,Maryland,24,2020,B01001_001E,6037624,Estimate!!Total:,Sex by Age
0400000US51,Virginia,51,2020,B01001_001E,8509358,Estimate!!Total:,Sex by Age
0400000US50,Vermont,50,2020,B01001_001E,624340,Estimate!!Total:,Sex by Age
0400000US37,North Carolina,37,2020,B01001_001E,10386227,Estimate!!Total:,Sex by Age
0400000US05,Arkansas,05,2020,B01001_001E,3011873,Estimate!!Total:,Sex by Age
0400000US53,Washington,53,2020,B01001_001E,7512465,Estimate!!Total:,Sex by Age
